Year_;Month_;Global_;Northern;Southern
1867;9;-0.14789358;-0.12839587;-0.16739129
1867;10;-0.12525536;-0.13226868;-0.11824205
1867;11;-0.19566038;-0.16366914;-0.22765163
1867;12;-0.44537255;-0.42190027;-0.46884483
1868;1;-0.6848776;-0.8059168;-0.5638383
1868;2;-0.69327545;-1.002921;-0.38363
1868;3;-0.33465612;-0.51361644;-0.15569581
1868;4;-0.36299402;-0.28538185;-0.44060618
1868;5;-0.28559557;-0.23383957;-0.3373516
1868;6;-0.29764694;-0.0680737;-0.5272202
1868;7;-0.059621982;0.32301566;-0.44225964
1868;8;-0.1932709;-0.12249868;-0.26404312
1868;9;-0.34477365;-0.40130225;-0.28824505
1868;10;-0.22966905;-0.23849043;-0.22084768
1868;11;-0.42318085;-0.66073555;-0.18562612
1868;12;-0.31396636;-0.2947847;-0.333148
1869;1;-0.33569098;-0.33319452;-0.33818743
1869;2;0.13131645;0.37711036;-0.11447745
1869;3;-0.6257712;-0.80616933;-0.44537312
1869;4;-0.40569928;-0.52015454;-0.29124403
1869;5;-0.3099707;-0.17847864;-0.44146276
1869;6;-0.38451383;-0.18885697;-0.58017063
1869;7;-0.41707024;-0.16387938;-0.6702611
1869;8;-0.16793925;0.05309157;-0.38897008
1869;9;-0.17162752;-0.038910627;-0.30434442
1869;10;-0.2934824;-0.2213142;-0.36565056
1869;11;-0.2818132;-0.289939;-0.27368745
1869;12;-0.5365831;-0.67446756;-0.39869872
1870;1;-0.21106681;-0.22474743;-0.19738618
1870;2;-0.4544139;-0.6065866;-0.30224115
1870;3;-0.4983347;-0.5528734;-0.443796
1870;4;-0.33294073;-0.3906412;-0.27524027
1870;5;-0.2977442;-0.08856701;-0.5069214
1870;6;-0.23123583;-0.052776366;-0.4096953
1870;7;-0.073357955;0.07790143;-0.22461733
1870;8;-0.2582274;-0.1755203;-0.34093454
1870;9;-0.2023172;-0.08390179;-0.3207326
1870;10;-0.44285795;-0.39998037;-0.48573557
1870;11;-0.2658218;-0.20329735;-0.32834628
1870;12;-0.6663718;-1.0438268;-0.28891677
1871;1;-0.55831134;-0.84294796;-0.2736747
1871;2;-0.6715548;-1.1151167;-0.22799289
1871;3;-0.17169894;-0.23477498;-0.10862291
1871;4;-0.22192766;-0.15400356;-0.28985175
1871;5;-0.3622017;-0.44926006;-0.27514333
1871;6;-0.2864155;-0.239781;-0.33304998
1871;7;-0.082433164;-0.028054463;-0.13681187
1871;8;-0.32236677;-0.12129757;-0.52343595
1871;9;-0.36107233;-0.3287831;-0.39336154
1871;10;-0.37327537;-0.23991399;-0.50663674
1871;11;-0.5226968;-0.8711069;-0.17428662
1871;12;-0.48901418;-0.666426;-0.31160235
1872;1;-0.59878874;-0.82564515;-0.3719323
1872;2;-0.61987036;-0.86018455;-0.37955612
1872;3;-0.523702;-0.5938154;-0.45358863
1872;4;-0.3854148;-0.43333066;-0.33749893
1872;5;-0.14151993;-0.034865003;-0.24817488
1872;6;-0.27950048;-0.19112915;-0.36787182
1872;7;-0.14631678;-0.04254468;-0.2500889
1872;8;0.008637112;0.20831403;-0.19103982
1872;9;-0.17648244;-0.02383722;-0.32912767
1872;10;-0.2035192;-0.18469389;-0.2223445
1872;11;-0.32202852;-0.5513282;-0.09272889
1872;12;-0.5479975;-0.7512103;-0.3447847
1873;1;-0.26165044;-0.48079532;-0.042505544
1873;2;-0.28293252;-0.39409187;-0.17177317
1873;3;-0.4087238;-0.56623185;-0.25121573
1873;4;-0.4805553;-0.6871962;-0.27391437
1873;5;-0.3509207;-0.45463565;-0.24720575
1873;6;-0.32054913;-0.29350698;-0.34759125
1873;7;-0.17570111;-0.114824556;-0.23657766
1873;8;-0.22783396;-0.16997768;-0.28569022
1873;9;-0.40525547;-0.41712326;-0.39338765
1873;10;-0.3906487;-0.31321773;-0.46807966
1873;11;-0.46331128;-0.4837331;-0.44288948
1873;12;-0.3279057;-0.13180836;-0.5240031
1874;1;-0.19854628;-0.10022739;-0.29686514
1874;2;-0.43842116;-0.41180852;-0.46503377
1874;3;-0.6729315;-0.8324079;-0.5134551
1874;4;-0.4370358;-0.38454756;-0.48952404
1874;5;-0.33399135;-0.075460345;-0.5925224
1874;6;-0.56584716;-0.30599463;-0.8256997
1874;7;-0.16706698;-0.18060099;-0.15353297
1874;8;-0.2960711;-0.16136454;-0.43077767
1874;9;-0.16819394;0.0073552756;-0.34374315
1874;10;-0.47115755;-0.37295064;-0.5693645
1874;11;-0.41774487;-0.41994056;-0.41554922
1874;12;-0.31200656;-0.286845;-0.3371681
1875;1;-0.5711182;-0.911584;-0.23065233
1875;2;-0.4792721;-0.7792256;-0.17931858
1875;3;-0.56430274;-0.734555;-0.39405042
1875;4;-0.35805592;-0.53496665;-0.18114519
1875;5;-0.2728362;-0.36169213;-0.18398032
1875;6;-0.27996176;-0.117671676;-0.44225183
1875;7;-0.18206008;-0.06105984;-0.30306032
1875;8;-0.24648568;-0.24072202;-0.25224936
1875;9;-0.23427878;-0.3131269;-0.15543067
1875;10;-0.23321441;-0.21856253;-0.24786627
1875;11;-0.50920546;-0.83072805;-0.18768287
1875;12;-0.57672006;-0.70077354;-0.45266652
1876;1;-0.51370406;-0.623623;-0.40378514
1876;2;-0.33739862;-0.38393483;-0.29086244
1876;3;-0.36232424;-0.41514638;-0.3095021
1876;4;-0.42427677;-0.45684132;-0.3917122
1876;5;-0.59042513;-0.7160348;-0.46481538
1876;6;-0.35227904;-0.14940025;-0.55515784
1876;7;-0.21372749;-0.022539385;-0.4049156
1876;8;-0.32724735;-0.20037007;-0.45412463
1876;9;-0.41784137;-0.24930085;-0.58638185
1876;10;-0.29983562;-0.27615386;-0.32351738
1876;11;-0.60684675;-0.7221237;-0.4915698
1876;12;-0.64341265;-1.0041267;-0.28269863
1877;1;-0.41108242;-0.516822;-0.30534282
1877;2;-0.20926146;-0.3706382;-0.047884736
1877;3;-0.091358565;-0.17786238;-0.004854754
1877;4;-0.3459171;-0.465637;-0.2261972
1877;5;-0.41127652;-0.31192002;-0.51063305
1877;6;-0.13819988;0.024416076;-0.30081582
1877;7;-0.016253214;0.090206884;-0.12271331
1877;8;0.21073052;0.3768908;0.044570234
1877;9;0.10758122;0.16452116;0.050641276
1877;10;0.11331653;0.044526342;0.18210672
1877;11;0.03397783;0.08125799;-0.013302334
1877;12;-0.05556291;-0.1552871;0.044161286
1878;1;-0.06979711;-0.3300493;0.19045508
1878;2;0.22940955;0.280536;0.1782831
1878;3;0.36132926;0.5733159;0.14934264
1878;4;0.18853739;0.25123623;0.12583853
1878;5;-0.122401394;-0.09020836;-0.15459442
1878;6;0.010291125;0.37982076;-0.3592385
1878;7;-0.0772364;0.09266281;-0.24713561
1878;8;-0.04655335;0.115443096;-0.2085498
1878;9;0.020835022;0.19441724;-0.15274718
1878;10;-0.1650159;-0.16592672;-0.1641051
1878;11;-0.14255811;-0.093853116;-0.19126311
1878;12;-0.3226224;-0.35286582;-0.29237893
1879;1;-0.23778471;-0.20937522;-0.2661942
1879;2;-0.26602048;-0.26680237;-0.26523858
1879;3;-0.2583884;-0.25668782;-0.26008898
1879;4;-0.38240048;-0.4471829;-0.3176181
1879;5;-0.34387106;-0.3175708;-0.37017134
1879;6;-0.28325993;-0.31507412;-0.25144577
1879;7;-0.2641225;-0.22001521;-0.30822977
1879;8;-0.26534295;-0.31071153;-0.21997434
1879;9;-0.23556925;-0.24165961;-0.2294789
1879;10;-0.15905875;-0.020514285;-0.29760322
1879;11;-0.397338;-0.5903641;-0.20431188
1879;12;-0.55045533;-0.83902556;-0.2618851
1880;1;-0.39386344;-0.4769953;-0.31073156
1880;2;-0.4498938;-0.6396271;-0.26016054
1880;3;-0.19438674;-0.3592889;-0.029484581
1880;4;-0.33803284;-0.4652988;-0.21076687
1880;5;-0.3253502;-0.30321893;-0.34748146
1880;6;-0.38053036;-0.30184436;-0.45921636
1880;7;-0.3148068;-0.3074414;-0.32217214
1880;8;-0.10718303;-0.18032041;-0.03404566
1880;9;-0.29703382;-0.32459658;-0.26947105
1880;10;-0.39094922;-0.4204255;-0.36147296
1880;11;-0.28068957;-0.34534582;-0.21603334
1880;12;-0.3172651;-0.48357028;-0.15095991
1881;1;-0.21463032;-0.23429029;-0.19497035
1881;2;-0.22458804;-0.32012048;-0.12905559
1881;3;-0.24820606;-0.37932685;-0.11708527
1881;4;-0.06252021;-0.042219996;-0.08282043
1881;5;-0.12189843;-0.14764236;-0.096154496
1881;6;-0.39908272;-0.37809783;-0.42006764
1881;7;-0.19404487;-0.18679488;-0.20129487
1881;8;-0.13816847;-0.07692851;-0.19940844
1881;9;-0.3007603;-0.27991554;-0.3216051
1881;10;-0.2305081;-0.33983606;-0.12118015
1881;11;-0.38121367;-0.6082631;-0.15416427
1881;12;-0.27132502;-0.41516316;-0.12748687
1882;1;-0.025385773;0.09909032;-0.14986187
1882;2;-0.11726177;-0.16432194;-0.07020158
